2017,2018,2019,2020,2021
0.12335958,0.021857923,-0.113138686,-0.090909091,0.318471338
0.060747664,0.016042781,0.008230453,-0.505882353,-0.169082126
0.013215859,-0.181578947,0.032653061,0.047619048,-0.075581395
0.086956522,-0.019292605,-0.023715415,-0.136363636,0.028301887
0.04,-0.196721311,-0.004048583,0.638157895,-0.162079511
0,-0.036734694,0,0.016064257,-0.040145985
0.157692308,0.165254237,-0.18699187,0.245059289,0.068441065
0.046511628,-0.043636364,-0.02,-0.238095238,0.010676157
-0.123809524,-0.19391635,-0.051020408,0.158333333,0.253521127
0.15942029,0.259433962,0.14516129,0.183453237,-0.039325843
0.115625,-0.048689139,-0.004694836,0.048632219,0.011695906
